Name,Image URL,Description,Category
Ovomaltine,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Ovomaltine.png,"Malzgetränk mit schokoladigem Geschmack, beliebt als Energielieferant.",Other
Rivella Blau,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Rivella%20Blau.png,"Leichte Variante des Schweizer Rivella, erfrischend und weniger süß.",Soft Drink
Orangina,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Orangina.png,"Kohlensäurehaltiges Orangengetränk, spritzig und fruchtig, international beliebt.",Soft Drink
San Pellegrino,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/San%20Pellegrino.png,"Italienisches Mineralwasser, leicht sprudelnd, bekannt und geschätzt weltweit.",Water
Evian,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Evian.png,"Französisches Mineralwasser, mild und weich im Geschmack, weit verbreitet.",Water
Lipton Ice Tea,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Lipton%20Ice%20Tea.png,"Erfrischender Eistee, süß und zitronig, beliebt an heißen Tagen.",Tea
Coca-Cola,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Coca-Cola.png,"Koffeinhaltiges Erfrischungsgetränk, süß und spritzig, weltweiter Favorit.",Soft Drink
Pepsi,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Pepsi.png,"Koffeinhaltiges Erfrischungsgetränk, ähnlich wie Coca-Cola, global beliebt.",Soft Drink
Fanta,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Fanta.png,"Kohlensäurehaltiges Orangengetränk, süß und fruchtig, populär bei Jugendlichen.",Soft Drink
Sprite,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Sprite.png,"Kohlensäurehaltiges Zitronen-Limettengetränk, erfrischend und spritzig.",Soft Drink
Mountain Dew,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Mountain%20Dew.png,"Koffeinhaltiges Erfrischungsgetränk, süß und zitrusartig, energiereich.",Soft Drink
Dr Pepper,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Dr%20Pepper.png,"Koffeinhaltiges Erfrischungsgetränk, einzigartiger Geschmack, beliebt in den USA.",Soft Drink
Red Bull,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Red%20Bull.png,"Energy-Drink, süß und belebend, weit verbreitet bei jungen Erwachsenen.",Energy Drink
Monster Energy,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Monster%20Energy.png,"Energy-Drink, intensiv und süß, bevorzugt von Extremsportlern.",Energy Drink
Capri-Sun,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Capri-Sun.png,"Fruchtsaftgetränk, süß und fruchtig, beliebt bei Kindern.",Juice
Vittel,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Vittel.png,"Französisches Mineralwasser, erfrischend und rein, weit verbreitet.",Water
Volvic,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Volvic.png,"Französisches Mineralwasser, mild und weich, populär für den täglichen Konsum.",Water
Nestea,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Nestea.png,"Erfrischender Eistee, süß und zitronig, beliebt als Durstlöscher.",Tea
Rivella Rot,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Rivella%20Rot.png,"Originales Schweizer Rivella, spritzig und einzigartig im Geschmack.",Soft Drink
Henniez,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Henniez.png,"Schweizer Mineralwasser, erfrischend und sprudelnd, sehr populär.",Water
Ricola Kräutertee,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Ricola%20Kra%CC%88utertee.png,"Schweizer Kräutertee, beruhigend und aromatisch, traditionell geschätzt.",Tea
Valser Wasser,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Valser%20Wasser.png,"Schweizer Mineralwasser, erfrischend und rein, beliebt in der Region.",Water
Migros Ice Tea,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Migros%20Ice%20Tea.png,"Erfrischender Eistee, süß und fruchtig, erhältlich bei Migros.",Tea
Sinalco,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Sinalco.png,"Kohlensäurehaltiges Erfrischungsgetränk, süß und spritzig, traditionell beliebt.",Soft Drink
Mezzo Mix,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Mezzo%20Mix.png,"Mischung aus Cola und Orangenlimonade, erfrischend und einzigartig.",Soft Drink
Club Mate,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Club%20Mate.png,"Koffeinhaltiges Erfrischungsgetränk, herb und erfrischend, bei Technikern beliebt.",Soft Drink
Almdudler,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Almdudler.png,"Österreichisches Kräuterlimonadegetränk, süß und würzig, traditionell.",Soft Drink
Swiss Mountain Spring Ginger Beer,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Swiss%20Mountain%20Spring%20Ginger%20Beer.png,"Schweizer Ingwergetränk, scharf und erfrischend, beliebt bei Kennern.",Soft Drink
Rugenbräu,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Rugenbra%CC%88u.png,"Schweizer Bier, malzig und vollmundig, regional geschätzt.",Alcoholic
Calanda Bier,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Calanda%20Bier.png,"Schweizer Bier, erfrischend und hopfig, in Graubünden beliebt.",Alcoholic
Chopfab Bier,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Chopfab%20Bier.png,"Schweizer Craft-Bier, reichhaltig und aromatisch, bei Bierliebhabern bekannt.",Alcoholic
Bündner Bier,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Bu%CC%88ndner%20Bier.png,"Regionalbier aus Graubünden, würzig und charaktervoll.",Alcoholic
Quöllfrisch,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Quo%CC%88llfrisch.png,"Schweizer Bier, frisch und leicht, in Appenzell bekannt.",Alcoholic
Möhl Saft,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Mo%CC%88hl%20Saft.png,"Schweizer Fruchtsaft, natürlich und süß, beliebt bei Familien.",Juice
Michel Fruchtsaft,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Michel%20Fruchtsaft.png,"Schweizer Fruchtsaft, fruchtig und erfrischend, bekannt für Qualität.",Juice
Ramseier Suure Most,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Ramseier%20Suure%20Most.png,"Schweizer Apfelwein, sauer und erfrischend, traditionell geschätzt.",Alcoholic
Rivella Grün,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Rivella%20Gru%CC%88n.png,"Variante des Schweizer Rivella, leicht und erfrischend, beliebt bei Gesundbewussten.",Soft Drink
Lipz,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Lipz.png,"Kohlensäurehaltiges Erfrischungsgetränk, süß und spritzig, bei jungen Leuten beliebt.",Soft Drink
Actimel,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Actimel.png,"Probiotisches Getränk, mild und gesund, bekannt für Immunstärkung.",Other
Emmi Caffè Latte,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Emmi%20Caffe%CC%80%20Latte.png,"Schweizer Kaffeegetränk, cremig und stark, beliebt bei Pendlern.",Coffee
Sankt Galler Schützengarten Bier,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Sankt%20Galler%20Schu%CC%88tzengarten%20Bier.png,"Schweizer Bier, traditionell und vollmundig, bekannt in St. Gallen.",Alcoholic
Calanda Radler,https://raw.githubusercontent.com/ayya111/tastevoyage/main/produkt_bilder/Calanda%20Radler.png,"Biermischgetränk, leicht und fruchtig, perfekt für den Sommer.",Alcoholic
hallo,https://raw.githubusercontent.com/ayya111/tastevoyage/main/images/hallo_4D00FBCB-E2E0-4C30-99AB-B42E549B6445.jpeg,nicht lecker,Soft Drink
